,file_path,sentence,section,0,0_span,weight_0
213,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"Wildfires in many regions have affected built assets, economic activity, and health (medium to high confidence).",HTML,health,"(77, 83)",1
221,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"LDCs and SIDS who have much lower per capita emissions (1.7 tCO2-eq, 4.6 tCO2-eq, respectively) than the global average (6.9 tCO2-eq) excluding CO2-LULUCF, also have high vulnerability to climatic hazards, with global hotspots of high human vulnerability observed in West-, Central- and East Africa, South Asia, Central and South America, SIDS and the Arctic (high confidence).",HTML,vulnerability,"(171, 184)",1
222,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,Regions and people with considerable development constraints have high vulnerability to climatic hazards (high confidence).,HTML,vulnerability,"(71, 84)",1
226,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"Between 2010 and 2020, human mortality from floods, droughts and storms was 15 times higher in highly vulnerable regions, compared to regions with very low vulnerability (high confidence).",HTML,vulnerability,"(156, 169)",1
228,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,Human and ecosystem vulnerability are interdependent (high confidence).,HTML,vulnerability,"(20, 33)",1
245,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"If achieved, these agreements would reduce climate change, and the impacts on health, wellbeing, migration, and conflict, among others (very high confidence).",HTML,"migration, health","(97, 106), (78, 84)",2
262,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"Combining mitigation with policies to shift development pathways, policies that induce lifestyle or behaviour changes, for example, measures promoting walkable urban areas combined with electrification and renewable energy can create health co-benefits from cleaner air and enhanced active mobility (high confidence).",HTML,health,"(234, 240)",1
324,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"Many adaptation measures that benefit health and wellbeing are found in other sectors (e.g., food, livelihoods, social protection, water and sanitation, infrastructure) (high confidence).",HTML,health,"(38, 44)",1
325,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"{WGII SPM C.2.1, WGII SPM C.2.2, WGII TS.D.1.2, WGII TS.D.1.4, WGII TS.D.4.2, WGII TS.D.8.3, WGII 4 ES; SRCCL SPM B.1.1} Adaptation can generate multiple additional benefits such as improving agricultural productivity, innovation, health and well-being, food security, livelihood, and biodiversity conservation as well as reduction of risks and damages (very high confidence).",HTML,health,"(231, 237)",1
333,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"Reduction of food loss and waste, and adaptation measures in support of balanced diets contribute to nutrition, health, and biodiversity benefits.",HTML,"nutrition, health","(101, 110), (112, 118)",2
341,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"Agroecological principles and practices and other approaches that work with natural processes support food security, nutrition, health and well-being, livelihoods and biodiversity, sustainability and ecosystem services.",HTML,"nutrition, health","(117, 126), (128, 134)",2
432,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"In the urban context, the largest adaptation gaps exist in projects that manage complex risks, for example in the food–energy–water–health nexus or the inter-relationships of air quality and climate risk (high confidence).",HTML,health,"(132, 138)",1
460,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"44Maladaptation refers to actions that may lead to increased risk of adverse climate-related outcomes, including via increased greenhouse gas emissions, increased or shifted vulnerability to climate change, more inequitable outcomes, or diminished welfare, now or in the future.",HTML,vulnerability,"(174, 187)",1
478,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"These barriers include: the inadequate assessment of climate-related risks and investment opportunities, regional mismatch between available capital and investment needs, home bias factors, country indebtedness levels, economic vulnerability, and limited institutional capacities.",HTML,vulnerability,"(228, 241)",1
489,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"For the assessment of climate impacts, risk and adaptation, the SSPs are used for future exposure, vulnerability and challenges to adaptation.",HTML,vulnerability,"(99, 112)",1
518,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"{WGI Box SPM.1.4, WGI TS.1.3.2; WGII Box SPM.1} (Figure 3.1, Figure 3.2) Risks Dynamic interactions between climate-related hazards, exposure and vulnerability of the affected human society, species, or ecosystems result in risks arising from climate change.",HTML,vulnerability,"(146, 159)",1
536,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"Panel (c) Illustration of risk arising from the interaction of hazard (driven by changes in climatic impact-drivers) with vulnerability, exposure and response to climate change.",HTML,vulnerability,"(122, 135)",1
596,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"This is based upon recent evidence of observed impacts, improved process understanding, and new knowledge on exposure and vulnerability of human and natural systems, including limits to adaptation.",HTML,vulnerability,"(122, 135)",1
600,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"Climate-related risks to health, livelihoods, food security, water supply, human security, and economic growth are projected to increase with global warming of 1.5°C.",HTML,health,"(25, 31)",1
606,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"With about 2°C warming, climate-related changes in food availability and diet quality are estimated to increase nutrition-related diseases and the number of undernourished people, affecting tens (under low vulnerability and low warming) to hundreds of millions of people (under high vulnerability and high warming), particularly among low-income households in low- and middle-income countries in sub-Saharan Africa, South Asia and Central America (high confidence).",HTML,"vulnerability, food availability, nutrition","(206, 219), (51, 68), (112, 121)",3
613,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"RFC2: Extreme weather events: risks/impacts to human health, livelihoods, assets and ecosystems from extreme weather events such as heatwaves, heavy rain, drought and associated wildfires, and coastal flooding.",HTML,health,"(53, 59)",1
614,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"RFC3: Distribution of impacts: risks/impacts that disproportionately affect particular groups due to uneven distribution of physical climate change hazards, exposure or vulnerability.",HTML,vulnerability,"(169, 182)",1
626,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"{WGII SPM B.4.1, WGII SPM B.4.2, WGII TS.C.1.2, WGII TS.C.2.3, WGII TS.C.4.1, WGII TS.C.4.4} (Figure 3.2, Figure 3.3) Projected adverse impacts and related losses and damages from climate change escalate with every increment of global warming (very high confidence), but they will also strongly depend on socio- economic development trajectories and adaptation actions to reduce vulnerability and exposure (high confidence).",HTML,vulnerability,"(379, 392)",1
628,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"Changes in, for example, demography or investments in health systems have effect on a variety of health-related outcomes including heat-related morbidity and mortality (Figure 3.3 Panel d).",HTML,health,"(54, 60)",1
646,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"(b) Risk to human health as indicated by the days per year of population exposure to hypothermic conditions that pose a risk of mortality from surface air temperature and humidity conditions for historical period (1991-2005) and at GWLs of 1.7°C–2.3°C (mean = 1.9°C; 13 climate models), 2.4°C–3.1°C (2.7°C; 16 climate models) and 4.2°C–5.4°C (4.7°C; 15 climate models).",HTML,health,"(18, 24)",1
678,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"The assessment criteria include exposure and vulnerability (density of assets, level of degradation of terrestrial and marine buffer ecosystems), coastal hazards (flooding, shoreline erosion, salinization), in-situ responses (hard engineered coastal defences, ecosystem restoration or creation of new natural buffers areas, and subsidence management) and planned relocation.",HTML,"vulnerability, relocation","(45, 58), (363, 373)",2
679,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,Planned relocation refers to managed retreat or resettlement.,HTML,"relocation, resettlement","(8, 18), (48, 60)",2
680,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,Forced displacement is not considered in this assessment.,HTML,displacement,"(7, 19)",1
682,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,Panel (d): Left - Heat-sensitive human health outcomes under three scenarios of adaptation effectiveness.,HTML,health,"(39, 45)",1
715,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"Maladaptation can create lock-ins of vulnerability, exposure and risks but can be avoided by long-term planning and the implementation of adaptation actions that are flexible, multi-sectoral and inclusive.",HTML,vulnerability,"(37, 50)",1
738,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"(high confidence) {WGII SPM C.2, WGII SPM C.2.6, WGII SPM.C.2.13, WGII SPM C.3.1, WGII SPM.C.3.4, WGII SPM C.3.5, WGII Figure TS.6 Panel (e)} Maladaptive responses to climate change can create lock-ins of vulnerability, exposure and risks that are difficult and expensive to change and exacerbate existing inequalities.",HTML,vulnerability,"(205, 218)",1
744,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"Responses to ongoing sea level rise and land subsidence include protection, accommodation, advance and planned relocation (high confidence).",HTML,relocation,"(111, 121)",1
889,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"Adopted Longer Report IPCC AR6 SYR Subject to Copy Edit                                                                                                                                                                        p.54 In the energy sector, transitions to low-emission systems will have multiple co-benefits, including improvements in air quality and health.",HTML,health,"(360, 366)",1
891,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"(high confidence) {WGIII SPM C.4.2, WGIII SPM D.1.3} For agriculture, land, and food systems, many land management options and demand-side response options (e.g., dietary choices, reduced post-harvest losses, reduced food waste) can contribute to eradicating poverty and eliminating hunger while promoting good health and wellbeing, clean water and sanitation, and life on land (medium confidence).",HTML,health,"(311, 317)",1
902,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"{WGII SPM B.4, WGII SPM B.6; WGIII SPM C.12, WGIII SPM C.12.2, WGIII SPM C.12.3 WGIII Box TS.7; SR1.5 SPM B.3, SR1.5 SPM B.5, SR1.5 SPM B.6} Considering other sustainable development dimensions, such as the potentially strong economic benefits on human health from air quality improvement, may enhance the estimated benefits of mitigation (medium confidence).",HTML,health,"(253, 259)",1
917,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"{WGII SPM.D.3, WGII SPM D.3.3; WGIII SPM E.2, WGIII SPM E.2.2; SR1.5 SPM D.6} Observed adverse impacts and related losses and damages, projected risks, trends in vulnerability, and adaptation limits demonstrate that transformation for sustainability and climate resilient development action is more urgent than previously assessed (very high confidence).",HTML,vulnerability,"(162, 175)",1
922,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"{WGII SPM D.1, WGII SPM D.1.1, WGII SPM D.4, WGII SPM D.4.3, WGII SPM D.5.1; WGIII SPM D.1.1}  The cumulative scientific evidence is unequivocal: climate change is a threat to human well-being and planetary health (very high confidence).",HTML,health,"(207, 213)",1
933,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"Without urgent, effective and equitable adaptation and mitigation actions, climate change increasingly threatens the health and livelihoods of people around the globe, ecosystem health, and biodiversity, with severe adverse consequences for current and future generations (high confidence).",HTML,health,"(117, 123)",1
979,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"Mitigation will improve air quality and human health in the near-term notably because many air pollutants are co-emitted by GHG emitting sectors and because methane emissions leads to surface ozone formation (high confidence) The benefits from air quality improvement include prevention of air pollution-related premature deaths, chronic diseases and damages to ecosystems and crops.",HTML,health,"(46, 52)",1
980,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"The economic benefits for human health from air quality improvement arising from mitigation action can be of the same order of magnitude as mitigation costs, and potentially even larger (medium confidence).",HTML,health,"(32, 38)",1
990,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"Embedding effective and equitable adaptation and mitigation in development planning can reduce vulnerability, conserve and restore ecosystems, and enable climate resilient development.",HTML,vulnerability,"(95, 108)",1
1018,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,Continuing with current unsustainable development patterns would increase exposure and vulnerability of ecosystems and people to climate hazards (high confidence).,HTML,vulnerability,"(87, 100)",1
1028,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"The level of risk for humans and ecosystems will depend on near-term trends in vulnerability, exposure, level of socio-economic development and adaptation (high confidence).",HTML,vulnerability,"(79, 92)",1
1029,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"In the near-term, many climate-associated risks to natural and human systems depend more strongly on changes in these systems’ vulnerability and exposure than on differences in climate hazards between emissions scenarios (high confidence).",HTML,vulnerability,"(127, 140)",1
1030,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"Future exposure to climatic hazards is increasing globally due to socio-economic development trends including growing inequality, and when urbanisation or migration increase exposure (high confidence).",HTML,"migration, urbanisation","(155, 164), (139, 151)",2
1032,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"Increasing urbanisation in low-lying and coastal zones will be a major driver of increasing exposure to extreme riverflow events and sea level rise hazards, increasing risks (high confidence) (Figure 4.3).",HTML,urbanisation,"(11, 23)",1
1034,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,Human vulnerability will concentrate in informal settlements and rapidly growing smaller settlements; and vulnerability in rural areas will be heightened by reduced habitability and 92See Annex I: Glossary.,HTML,vulnerability,"(6, 19)",1
1039,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,Human and ecosystem vulnerability are interdependent (high confidence).,HTML,vulnerability,"(20, 33)",1
1046,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"● Continued sea level rise and increased frequency and magnitude of extreme sea level events encroaching on coastal human settlements and damaging coastal infrastructure (high confidence), committing low-lying coastal ecosystems to submergence and loss (medium confidence), expanding land salinization (very high confidence), with cascading to risks to livelihoods, health, well-being, cultural values, food and water security (high confidence) (Figure 3.4, 4.3).",HTML,health,"(366, 372)",1
1048,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,● Climate change will significantly increase ill health and premature deaths from the near- to long-term (high confidence).,HTML,health,"(49, 55)",1
1049,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"Further warming will increase climate-sensitive food-borne, water-borne, and vector-borne disease risks (high confidence), and mental health challenges including anxiety and stress (very high confidence).",HTML,"health, disease","(134, 140), (90, 97)",2
1054,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"Risks to health and food production will be made more severe from the interaction of sudden food production losses from heat and drought, exacerbated by heat-induced labour productivity losses (high confidence) (Figure 4.3).",HTML,health,"(9, 15)",1
1055,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"These interacting impacts will increase food prices, reduce household incomes, and lead to health risks of malnutrition and climate-related mortality with no or low levels of adaptation, especially in tropical regions (high confidence).",HTML,health,"(91, 97)",1
1056,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"Concurrent and cascading risks from climate change to food systems, human settlements, infrastructure and health will make these risks more severe and more difficult to manage, including when interacting with non-climatic risk drivers such as competition for land between urban expansion and food production, and pandemics (high confidence).",HTML,health,"(106, 112)",1
1065,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"Changes in risk result from changes in the degree of the hazard, the population exposed, and the degree of vulnerability of people, assets, or ecosystems.",HTML,vulnerability,"(107, 120)",1
1068,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,Out-migration from coastal areas due to future sea level rise is not considered in the scenario.,HTML,migration,"(4, 13)",1
1081,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"The complexity in risk of rising food prices, reduced household incomes, and health and climate-related malnutrition (particularly maternal malnutrition and child undernutrition) and mortality increases with little or low levels of adaptation (high confidence).",HTML,health,"(77, 83)",1
1082,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"{WGII SPM B.5.1, WGII SPM C.2.9, WGII SPM D.2.1, WGII TS Box TS.4; WGIII SPM D.3, WGIII SPM D.3.3, WGIII SPM WGIII SPM E.3, SR1.5 SPM D.4.5} (Figure 4.3c) Regions and people with considerable development constraints have high vulnerability to climatic hazards.",HTML,vulnerability,"(226, 239)",1
1087,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"Present development challenges causing high vulnerability are influenced by historical and ongoing patterns of inequity such as colonialism, especially for many Indigenous Peoples and local communities (high confidence).",HTML,vulnerability,"(44, 57)",1
1112,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"The system transitions make possible the transformative adaptation required for high levels of human health and well-being, economic and social resilience, ecosystem health, and planetary health.",HTML,health,"(101, 107)",1
1119,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"This report has a particular focus on the following system transitions: energy; industry; cities, settlements and infrastructure; land, ocean, food and water; health and nutrition; and society, livelihood and economies { WGII SPM A., WGII SPM Figure SPM.1, WGII SPM Figure SPM.4; SR1.5 SPM C.2,} 95See Annex I: Glossary.",HTML,"nutrition, health","(170, 179), (159, 165)",2
1124,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"The term response is used here in addition to adaptation because some responses, such as migration, relocation and resettlement may or may not be considered to be adaptation.",HTML,"relocation, migration, resettlement","(100, 110), (89, 98), (115, 127)",3
1195,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"Key infrastructure systems including sanitation, water, health, transport, communications and energy will be increasingly vulnerable if design standards do not account for changing climate conditions (high confidence) {WGII SPM B.2.5; WGIII SPM C.6.2, WGIII SPM C.8, WGIII SPM C.8.1, WGIII SPM C.8.2, WGIII SPM C.10.2, WGIII SPM C.10.3, WGIII SPM C.10.4}.",HTML,health,"(56, 62)",1
1196,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"Green/natural and blue infrastructure such as urban forestry, green roofs, ponds and lakes, and river restoration can mitigate climate change through carbon uptake and storage, avoided emissions, and reduced energy use while reducing risk from extreme events such as heatwaves, heavy precipitation and droughts, and advancing co-benefits for health, wellbeing and livelihoods (medium confidence).",HTML,health,"(342, 348)",1
1201,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"{WGII SPM C.2.5, WGII SPM C.2.6, WGII SPM C.2.7, WGII SPM D.3.2, WGII TS.E.1.4, WGII Cross-Chapter Box FEAS; WGIII SPM C.6, WGIII SPM C.6.2, WGIII SPM D.1.3, WGIII SPM D.2.1} Responses to ongoing sea level rise and land subsidence in low-lying coastal cities and settlements and small islands include protection, accommodation, advance and planned relocation.",HTML,relocation,"(348, 358)",1
1218,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"In contrast, restoring natural forests and drained peatlands, and improving sustainability of managed forests enhances the resilience of carbon stocks and sinks and reduces ecosystem vulnerability to climate change.",HTML,vulnerability,"(183, 196)",1
1227,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"Ecosystem-based management in fisheries and aquaculture supports food security, biodiversity, human health and well-being (high confidence).",HTML,health,"(100, 106)",1
1228,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"{WGII SPM C.2.2, WGII SPM C.2; SROCC SPM C2.3, SROCC SPM C.2.4}  4.5.5 Health and Nutrition Human health will benefit from integrated mitigation and adaptation options that mainstream health into food, infrastructure, social protection, and water policies (very high confidence).",HTML,health,"(98, 104)",1
1229,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,Balanced and sustainable healthy diets99and reduced food loss and waste present important opportunities for adaptation and mitigation while generating significant co-benefits in terms of biodiversity and human health (high confidence).,HTML,health,"(210, 216)",1
1230,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"Public health policies to improve nutrition, such as increasing the diversity of food sources in public procurement, health insurance, financial incentives, and awareness-raising campaigns, can potentially influence food demand, reduce food waste, reduce healthcare costs, contribute to lower GHG emissions and enhance adaptive capacity (high confidence).",HTML,"nutrition, health","(34, 43), (7, 13)",2
1231,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"Improved access to clean energy sources and technologies, and shifts to active mobility (e.g., walking and cycling) and public transport can deliver socioeconomic, air quality and health benefits, especially for women and children (high confidence).",HTML,health,"(180, 186)",1
1232,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"{WGII SPM C.2.2, WGII SPM C.2.11, WGII Cross-Chapter Box HEALTH; WGIII SPM C.2.2, WGIII SPM C.4.2, WGIII SPM C.9.1, WGIII SPM C.10.4, WGIII SPM D.1.3, WGIII SPM Figure SPM6, WGIII SPM Figure SPM.8; SRCCL SPM B.6.2, SRCCL SPM B.6.3, SRCCL B.4.6, SRCCL SPM C.2.4} Effective adaptation options exist to help protect human health and wellbeing (high confidence).",HTML,health,"(319, 325)",1
1236,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"Effective adaptation options for reducing mental health risks under climate change include improving surveillance and access to mental health care, and monitoring of psychosocial impacts from extreme weather events (high confidence).",HTML,health,"(49, 55)",1
1237,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"A key pathway to climate resilience in the health sector is universal access to healthcare (high confidence) {WGII SPM C.2.11, WGII Chapter 7.4.6} 4.5.6 Society, Livelihoods, and Economies Enhancing knowledge on risks and available adaptation options promotes societal responses, and behaviour and lifestyle changes supported by policies, infrastructure and technology can help reduce global GHG emissions (high confidence).",HTML,health,"(43, 49)",1
1245,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"Policy mixes that include weather and health insurance, social protection and adaptive safety nets, contingent finance and reserve funds, and universal access to early warning systems combined with effective contingency plans, can reduce vulnerability and exposure of human systems (high confidence).",HTML,"vulnerability, health","(238, 251), (38, 44)",2
